Date,Festival/Event,Season,Special Day Type,Location,Customer Segment,Top Purchased Items,Total Sale Value (₹),Estimated Profit (₹),Demand Level (1-10),Discount Sensitivity (1-10)
2023-11-30,Onam,Summer,Normal Day,Delhi,Upper Middle,"Atta, Rice, Oil",230.74,24.99,10,9
2024-03-23,Navratri,Winter,Weekend,Kolkata,Retail Bulk,"Vegetables, Sugar, Rice",1939.16,483.1,6,5
2023-10-11,None,Monsoon,Normal Day,Kolkata,Low Income,"Vegetables, Milk, Oil",1605.71,211.88,8,3
2023-10-19,None,Summer,Exam Season,Chennai,Retail Bulk,"Sugar, Atta, Oil",1493.98,364.17,7,5
2023-01-12,Navratri,Summer,Weekend,Mumbai,Low Income,"Bread, Fruits, Eggs",1537.44,322.33,8,2
2024-01-08,Independence Day,Summer,Wedding Season,Kolkata,Upper Middle,"Fruits, Oil, Hand bands, Flags, Vegetables",1028.63,135.42,4,5
2023-02-27,Navratri,Winter,Weekend,Jaipur,Low Income,"Sugar, Eggs, Oil",853.13,211.98,10,2
2023-08-16,Diwali,Summer,Normal Day,Jaipur,Upper Middle,"Oil, Rice, Atta",672.65,49.85,9,5
2024-03-30,Holi,Winter,Exam Season,Chennai,Students,"Vegetables, Sugar, Eggs, Colors",1931.7,392.01,5,9
2023-12-01,None,Summer,School Opening,Delhi,Low Income,"Vegetables, Milk, Eggs",1509.83,134.81,10,4
2024-03-09,Holi,Monsoon,Wedding Season,Chennai,Upper Middle,"Vegetables, Milk, Eggs, Colors",643.3,70.13,10,9
2024-09-06,Christmas,Monsoon,Weekend,Patna,Families,"Cake, Bread, Rice, Vegetables, Chocolates",795.12,121.79,5,8
2023-12-18,None,Monsoon,Normal Day,Chennai,Low Income,"Bread, Rice, Fruits",927.87,224.87,4,5
2024-04-09,None,Winter,Normal Day,Jaipur,Low Income,"Sugar, Rice, Fruits",969.42,104.47,5,7
2023-02-01,Navratri,Winter,Salary Day,Bangalore,Students,"Sugar, Fruits, Atta",62.57,9.28,9,3
2024-10-23,Diwali,Monsoon,Exam Season,Jaipur,Upper Middle,"Fruits, Milk, Atta",1592.74,365.12,6,3
2024-12-22,Republic Day,Winter,Normal Day,Chennai,Upper Middle,"Bread, Rice, Milk",764.21,89.36,5,8
2023-03-30,Holi,Summer,Weekend,Bangalore,Retail Bulk,"Sugar, Rice, Fruits, Colors",1440.61,328.21,7,8
2024-10-22,Navratri,Monsoon,Exam Season,Kolkata,Families,"Vegetables, Sugar, Bread",269.51,55.7,5,5
2024-05-26,Navratri,Monsoon,Weekend,Lucknow,Upper Middle,"Vegetables, Milk, Atta",1268.31,159.43,10,5
2023-07-04,Makar Sankranti,Monsoon,Wedding Season,Delhi,Upper Middle,"Rice, Eggs, Atta",490.2,71.88,5,8
2024-02-08,Makar Sankranti,Summer,Exam Season,Patna,Students,"Bread, Rice, Fruits",1101.57,108.8,6,5
2024-07-14,Republic Day,Monsoon,Weekend,Jaipur,Low Income,"Fruits, Milk, Atta",1179.05,112.44,8,5
2023-03-12,Diwali,Summer,Weekend,Bangalore,Students,"Sugar, Bread, Oil",1185.64,128.69,8,7
2023-07-15,Raksha Bandhan,Summer,Salary Day,Patna,Students,"Sweets, Sugar, Atta, Rakhi, Vegetables",879.8,218.31,7,2
2024-05-02,Christmas,Summer,Wedding Season,Patna,Students,"Sugar, Cake, Eggs, Atta, Chocolates",521.48,102.05,10,9
2024-03-01,None,Monsoon,School Opening,Mumbai,Students,"Vegetables, Milk, Eggs",1665.05,294.94,7,8
2023-03-16,Eid,Monsoon,Exam Season,Mumbai,Retail Bulk,"Dates, Rice, Milk, Atta",1321.65,150.26,10,7
2024-12-20,Holi,Monsoon,Weekend,Lucknow,Students,"Sugar, Colors, Eggs, Atta",1726.12,290.75,6,3
2024-02-04,Eid,Summer,School Opening,Jaipur,Students,"Vegetables, Dates, Eggs, Oil",703.63,129.42,8,8
2023-11-13,None,Monsoon,Salary Day,Kolkata,Students,"Vegetables, Fruits, Atta",1623.66,360.68,8,3
2024-11-19,Diwali,Monsoon,Salary Day,Delhi,Middle Class,"Sugar, Bread, Fruits",1788.93,226.12,9,6
2024-01-15,Raksha Bandhan,Summer,School Opening,Chennai,Middle Class,"Sweets, Sugar, Atta, Rakhi, Vegetables",1921.79,194.41,9,3
2024-02-26,Makar Sankranti,Monsoon,Exam Season,Chennai,Students,"Vegetables, Sugar, Atta",721.13,71.42,9,8
2024-01-28,Independence Day,Summer,Salary Day,Kolkata,Middle Class,"Fruits, Hand bands, Flags, Vegetables, Eggs",728.52,58.72,4,5
2023-07-21,Makar Sankranti,Monsoon,Normal Day,Kolkata,Low Income,"Vegetables, Rice, Fruits",1934.59,329.28,7,5
2023-06-01,None,Summer,School Opening,Mumbai,Low Income,"Vegetables, Bread, Milk",1728.85,192.96,8,9
2024-10-22,None,Monsoon,Salary Day,Kolkata,Upper Middle,"Vegetables, Milk, Eggs",199.31,34.52,9,4
2024-07-17,Onam,Winter,Wedding Season,Kolkata,Students,"Oil, Bread, Atta",1826.14,396.63,9,5
2024-01-14,Republic Day,Summer,Salary Day,Kolkata,Retail Bulk,"Vegetables, Eggs, Oil",1524.22,241.7,7,5
2023-02-09,Christmas,Winter,School Opening,Delhi,Middle Class,"Cake, Fruits, Eggs, Oil, Chocolates",582.58,68.92,6,7
2024-11-16,Christmas,Winter,Exam Season,Patna,Families,"Cake, Eggs, Rice, Vegetables, Chocolates",628.34,115.23,7,6
2023-11-08,Makar Sankranti,Winter,Exam Season,Lucknow,Middle Class,"Vegetables, Rice, Milk",1088.49,195.49,4,6
2024-06-16,Navratri,Winter,Weekend,Bangalore,Retail Bulk,"Sugar, Milk, Eggs",1335.94,286.55,9,9
2024-06-22,None,Summer,Weekend,Bangalore,Families,"Sugar, Fruits, Atta",1190.73,255.44,10,9
2024-10-17,None,Winter,Salary Day,Jaipur,Middle Class,"Sugar, Eggs, Oil",473.21,111.94,7,5
2024-07-31,None,Summer,Salary Day,Kolkata,Low Income,"Bread, Rice, Fruits",1274.22,112.74,4,9
2023-10-17,Christmas,Winter,Wedding Season,Lucknow,Retail Bulk,"Sugar, Cake, Fruits, Oil, Chocolates",1875.99,406.77,4,7
2024-07-05,Eid,Monsoon,Salary Day,Mumbai,Students,"Sugar, Dates, Fruits, Atta",655.27,51.44,4,4
2024-04-04,Navratri,Monsoon,Salary Day,Mumbai,Students,"Oil, Sugar, Atta",222.2,35.18,6,2
2023-01-09,Onam,Winter,School Opening,Lucknow,Low Income,"Bread, Rice, Eggs",1583.08,217.82,7,4
2024-12-19,Christmas,Winter,Exam Season,Chennai,Low Income,"Sugar, Cake, Fruits, Eggs, Chocolates",539.64,62.63,6,9
2023-12-10,Makar Sankranti,Monsoon,Wedding Season,Delhi,Upper Middle,"Vegetables, Fruits, Atta",1046.01,130.76,6,6
2023-07-16,Onam,Summer,Weekend,Bangalore,Students,"Vegetables, Milk, Atta",1454.46,181.72,7,3
2023-10-20,None,Summer,Wedding Season,Jaipur,Retail Bulk,"Vegetables, Fruits, Milk",1439.28,263.04,10,5
2024-09-13,Holi,Summer,Wedding Season,Bangalore,Middle Class,"Colors, Rice, Eggs, Atta",722.31,127.76,7,8
2023-03-24,Raksha Bandhan,Winter,Exam Season,Delhi,Retail Bulk,"Sweets, Milk, Fruits, Rakhi, Eggs",116.95,7.78,10,7
2024-06-17,Christmas,Summer,Weekend,Lucknow,Families,"Sugar, Cake, Milk, Eggs, Chocolates",936.7,118.52,7,8
2024-12-13,Holi,Monsoon,Exam Season,Jaipur,Low Income,"Sugar, Colors, Fruits, Atta",795.09,119.35,9,6
2023-07-22,Independence Day,Summer,Normal Day,Jaipur,Students,"Milk, Hand bands, Flags, Vegetables, Eggs",1995.93,392.75,10,5
2023-06-16,Raksha Bandhan,Summer,Weekend,Lucknow,Middle Class,"Sweets, Fruits, Rakhi, Bread, Vegetables",162.15,32.93,9,9
2023-04-24,Diwali,Monsoon,Weekend,Lucknow,Families,"Vegetables, Sugar, Oil",1471.71,263.78,7,4
2023-10-14,None,Monsoon,Weekend,Lucknow,Upper Middle,"Sugar, Bread, Milk",648.36,76.77,8,8
2023-03-23,Onam,Summer,Normal Day,Mumbai,Middle Class,"Vegetables, Fruits, Eggs",55.15,10.08,8,2
2023-02-10,None,Winter,Salary Day,Patna,Retail Bulk,"Bread, Eggs, Atta",1374.58,265.35,4,4
2024-10-04,Navratri,Winter,Wedding Season,Jaipur,Upper Middle,"Bread, Milk, Atta",673.31,122.44,4,5
2023-09-24,Republic Day,Monsoon,Wedding Season,Jaipur,Middle Class,"Oil, Eggs, Atta",1447.16,297.69,10,2
2023-02-05,None,Winter,Normal Day,Delhi,Middle Class,"Vegetables, Rice, Fruits",1671.17,132.11,10,8
2024-06-27,Diwali,Monsoon,Wedding Season,Patna,Retail Bulk,"Oil, Fruits, Atta",844.95,71.53,10,3
2024-10-10,Independence Day,Monsoon,Wedding Season,Jaipur,Families,"Bread, Hand bands, Flags, Rice, Eggs",1899.61,105.78,5,9
2023-12-16,Raksha Bandhan,Winter,Exam Season,Mumbai,Middle Class,"Sweets, Sugar, Atta, Rakhi, Rice",463.13,47.51,9,2
2024-08-05,Makar Sankranti,Winter,Wedding Season,Chennai,Middle Class,"Sugar, Eggs, Atta",359.36,73.94,9,8
2024-01-06,Diwali,Winter,Wedding Season,Chennai,Students,"Oil, Eggs, Atta",487.34,97.37,8,3
2023-05-19,Navratri,Summer,School Opening,Jaipur,Upper Middle,"Vegetables, Milk, Atta",701.4,78.97,6,9
2024-01-29,Raksha Bandhan,Monsoon,Normal Day,Jaipur,Students,"Sweets, Milk, Fruits, Rakhi, Rice",760.1,46.07,10,4
2023-12-22,Eid,Monsoon,Weekend,Lucknow,Students,"Sugar, Bread, Fruits, Dates",1330.02,222.57,8,5
2023-03-01,None,Summer,Exam Season,Jaipur,Students,"Eggs, Milk, Atta",1916.14,120.68,5,2
2024-04-07,Holi,Winter,School Opening,Kolkata,Upper Middle,"Colors, Rice, Fruits, Oil",150.63,33.94,5,2
2024-01-22,Raksha Bandhan,Monsoon,Weekend,Jaipur,Middle Class,"Sweets, Sugar, Milk, Rakhi, Vegetables",1589.45,336.92,8,3
2023-07-13,Eid,Summer,Weekend,Chennai,Low Income,"Vegetables, Sugar, Dates, Atta",969.45,175.06,4,8
2024-09-18,None,Winter,Exam Season,Chennai,Upper Middle,"Vegetables, Bread, Rice",1408.12,195.1,7,5
2023-10-11,Diwali,Monsoon,Exam Season,Kolkata,Middle Class,"Vegetables, Eggs, Atta",326.46,64.03,9,4
2023-04-04,Eid,Summer,Wedding Season,Jaipur,Low Income,"Vegetables, Sugar, Bread, Dates",1385.1,307.1,6,3
2024-09-20,Independence Day,Summer,Normal Day,Patna,Middle Class,"Fruits, Bread, Hand bands, Flags, Eggs",646.68,158.33,9,9
2023-03-20,Eid,Summer,Wedding Season,Patna,Students,"Sugar, Bread, Rice, Dates",208.9,42.05,7,6
2024-12-27,Diwali,Winter,School Opening,Mumbai,Students,"Bread, Rice, Milk",568.4,119.82,5,2
2024-07-30,Makar Sankranti,Summer,School Opening,Delhi,Low Income,"Atta, Fruits, Eggs",707.98,87.24,9,3
2023-09-25,None,Summer,Exam Season,Delhi,Upper Middle,"Vegetables, Milk, Oil",1408.63,190.65,7,8
2023-02-28,Diwali,Monsoon,Salary Day,Kolkata,Upper Middle,"Oil, Milk, Atta",1212.78,217.45,6,3
2024-07-16,Independence Day,Summer,Weekend,Patna,Students,"Fruits, Milk, Hand bands, Flags, Vegetables",820.48,124.78,9,8
2024-01-15,Christmas,Winter,Wedding Season,Chennai,Students,"Cake, Fruits, Eggs, Atta, Chocolates",701.49,140.74,10,7
2023-12-06,None,Summer,Normal Day,Lucknow,Low Income,"Oil, Sugar, Atta",184.9,23.15,4,4
2024-05-16,Navratri,Summer,Exam Season,Jaipur,Students,"Milk, Bread, Eggs",1062.43,141.04,8,9
2024-10-17,Christmas,Monsoon,School Opening,Patna,Low Income,"Cake, Fruits, Atta, Oil, Chocolates",640.57,47.28,4,8
2023-04-11,Raksha Bandhan,Monsoon,Exam Season,Chennai,Families,"Sweets, Fruits, Milk, Rakhi, Bread",1735.59,365.91,9,6
2023-04-05,Onam,Monsoon,Normal Day,Mumbai,Middle Class,"Sugar, Rice, Oil",193.35,24.81,7,2
2024-05-16,Navratri,Summer,School Opening,Jaipur,Middle Class,"Sugar, Rice, Milk",363.01,30.85,10,2
2024-12-15,Eid,Winter,Salary Day,Chennai,Students,"Vegetables, Bread, Dates, Atta",884.19,114.92,7,9
2024-06-12,Makar Sankranti,Winter,Wedding Season,Kolkata,Middle Class,"Rice, Milk, Eggs",826.46,143.41,10,9
2024-04-12,Eid,Winter,Wedding Season,Chennai,Retail Bulk,"Fruits, Dates, Milk, Oil",1747.69,176.22,10,8
2024-04-22,Eid,Monsoon,Wedding Season,Delhi,Middle Class,"Bread, Dates, Milk, Oil",276.84,40.43,6,2
2023-01-19,Republic Day,Monsoon,Normal Day,Lucknow,Families,"Sugar, Eggs, Atta",591.65,62.57,7,4
2023-11-29,Navratri,Monsoon,Salary Day,Lucknow,Families,"Vegetables, Rice, Eggs",498.27,103.56,8,9
2023-02-15,Makar Sankranti,Winter,Normal Day,Delhi,Students,"Rice, Fruits, Atta",1353.51,250.14,8,7
2023-12-22,Onam,Monsoon,Normal Day,Patna,Retail Bulk,"Milk, Fruits, Atta",300.28,43.12,4,9
2023-03-22,Onam,Monsoon,Salary Day,Lucknow,Retail Bulk,"Bread, Eggs, Oil",703.01,88.77,7,6
2024-09-11,Diwali,Summer,Exam Season,Mumbai,Low Income,"Vegetables, Bread, Milk",1016.49,52.03,8,9
2024-04-30,Navratri,Winter,Normal Day,Kolkata,Students,"Vegetables, Milk, Atta",753.68,78.04,8,9
2024-03-13,Onam,Summer,School Opening,Kolkata,Families,"Sugar, Rice, Atta",1284.3,135.12,7,7
2024-10-17,Christmas,Monsoon,Normal Day,Mumbai,Low Income,"Cake, Atta, Eggs, Oil, Chocolates",383.21,45.94,9,5
2023-04-25,Holi,Summer,School Opening,Chennai,Upper Middle,"Milk, Fruits, Eggs, Colors",218.58,46.7,8,4
2024-06-07,Diwali,Monsoon,Normal Day,Kolkata,Families,"Vegetables, Fruits, Eggs",705.4,153.8,5,4
2023-09-08,None,Winter,Exam Season,Chennai,Middle Class,"Vegetables, Sugar, Milk",913.36,106.93,5,7
2023-03-20,Navratri,Summer,Normal Day,Mumbai,Low Income,"Sugar, Fruits, Eggs",288.3,26.45,4,8
2023-03-03,Onam,Winter,Salary Day,Chennai,Retail Bulk,"Vegetables, Rice, Fruits",480.56,72.5,6,9
2024-06-26,None,Monsoon,Exam Season,Jaipur,Low Income,"Milk, Fruits, Eggs",1405.96,203.58,10,5
2024-07-25,Diwali,Monsoon,Wedding Season,Delhi,Retail Bulk,"Bread, Rice, Atta",1000.25,51.48,4,4
2024-09-21,Makar Sankranti,Summer,Weekend,Kolkata,Middle Class,"Sugar, Fruits, Oil",1914.47,402.65,7,5
2024-10-22,Raksha Bandhan,Monsoon,Normal Day,Kolkata,Retail Bulk,"Sweets, Sugar, Atta, Rakhi, Bread",403.18,65.36,4,6
2024-01-13,Eid,Summer,School Opening,Chennai,Families,"Vegetables, Dates, Fruits, Atta",1761.57,288.04,4,7
2024-06-22,Raksha Bandhan,Monsoon,Wedding Season,Mumbai,Retail Bulk,"Sweets, Milk, Oil, Rakhi, Bread",1624.93,294.47,5,5
2023-11-05,Diwali,Winter,Salary Day,Mumbai,Students,"Bread, Rice, Eggs",1780.05,95.01,7,4
2023-09-14,Independence Day,Winter,School Opening,Lucknow,Middle Class,"Bread, Hand bands, Flags, Vegetables, Eggs",1795.05,244.24,4,7
2023-07-30,Independence Day,Winter,Normal Day,Mumbai,Upper Middle,"Sugar, Hand bands, Flags, Rice, Eggs",791.66,149.83,5,7
2023-07-12,Onam,Monsoon,Wedding Season,Chennai,Retail Bulk,"Sugar, Fruits, Eggs",1229.74,124.68,6,6
2024-04-27,Onam,Winter,Salary Day,Jaipur,Middle Class,"Bread, Milk, Atta",1358.85,335.39,9,3
2023-02-04,Raksha Bandhan,Summer,Wedding Season,Delhi,Middle Class,"Sweets, Fruits, Atta, Rakhi, Rice",752.75,76.76,10,6
2023-09-27,Christmas,Winter,School Opening,Kolkata,Upper Middle,"Cake, Fruits, Atta, Vegetables, Chocolates",55.93,3.12,5,5
2023-05-22,Independence Day,Winter,Wedding Season,Chennai,Families,"Fruits, Oil, Bread, Hand bands, Flags",673.59,64.85,10,2
2024-04-06,Republic Day,Winter,Wedding Season,Lucknow,Students,"Sugar, Eggs, Oil",363.7,75.38,5,4
2024-03-28,Republic Day,Monsoon,Normal Day,Patna,Middle Class,"Milk, Eggs, Oil",1713.45,86.85,6,8
2024-01-27,Eid,Winter,Weekend,Chennai,Middle Class,"Vegetables, Sugar, Bread, Dates",1414.75,270.21,4,2
2024-10-09,Eid,Summer,Salary Day,Delhi,Retail Bulk,"Bread, Dates, Fruits, Atta",1636.2,337.02,7,8
2023-06-11,Holi,Winter,School Opening,Patna,Middle Class,"Vegetables, Sugar, Fruits, Colors",1065.95,235.46,10,8
2024-11-02,Republic Day,Summer,School Opening,Mumbai,Upper Middle,"Vegetables, Bread, Fruits",1013.86,102.54,9,2
2024-08-14,Eid,Monsoon,Exam Season,Kolkata,Upper Middle,"Vegetables, Bread, Dates, Atta",1562.87,388.13,4,6
2023-12-04,Raksha Bandhan,Summer,Normal Day,Chennai,Middle Class,"Sweets, Milk, Oil, Rakhi, Rice",1109.5,170.61,5,3
2023-05-15,Onam,Monsoon,Weekend,Lucknow,Families,"Vegetables, Rice, Atta",699.98,84.95,9,4
2024-12-28,Independence Day,Monsoon,Exam Season,Delhi,Families,"Milk, Bread, Hand bands, Flags, Rice",1869.77,195.86,10,4
2023-01-07,Navratri,Monsoon,Normal Day,Patna,Low Income,"Atta, Milk, Oil",213.53,48.26,10,8
2023-02-22,Holi,Monsoon,Normal Day,Bangalore,Families,"Sugar, Colors, Rice, Oil",1455.66,82.74,7,5
2024-12-10,Raksha Bandhan,Summer,School Opening,Patna,Students,"Sweets, Sugar, Rakhi, Bread, Vegetables",1639.28,316.97,6,4
2024-09-01,None,Winter,Salary Day,Mumbai,Students,"Sugar, Bread, Milk",844.94,158.44,9,5
2023-11-23,Republic Day,Monsoon,Salary Day,Mumbai,Families,"Oil, Eggs, Atta",1139.22,226.07,8,7
2023-03-04,Raksha Bandhan,Winter,Salary Day,Delhi,Upper Middle,"Sweets, Sugar, Milk, Rakhi, Vegetables",1393.01,307.05,6,7
2023-04-14,Christmas,Summer,School Opening,Jaipur,Upper Middle,"Cake, Bread, Rice, Vegetables, Chocolates",185.79,23.29,6,5
2024-12-18,Raksha Bandhan,Summer,Salary Day,Chennai,Middle Class,"Sweets, Milk, Fruits, Rakhi, Bread",886.1,111.64,10,9
2023-11-02,Eid,Summer,School Opening,Lucknow,Upper Middle,"Sugar, Rice, Milk, Dates",637.46,60.48,6,3
2024-11-08,None,Winter,Normal Day,Delhi,Middle Class,"Vegetables, Fruits, Atta",1326.87,321.25,6,9
2024-04-28,Makar Sankranti,Summer,Exam Season,Delhi,Middle Class,"Sugar, Rice, Fruits",1346.62,217.57,7,4
2024-05-05,Makar Sankranti,Monsoon,Weekend,Mumbai,Retail Bulk,"Sugar, Bread, Fruits",1003.77,58.12,7,8
2024-05-10,Makar Sankranti,Summer,School Opening,Mumbai,Low Income,"Rice, Milk, Eggs",840.47,174.47,4,7
2023-07-26,Independence Day,Winter,Salary Day,Kolkata,Low Income,"Sugar, Atta, Bread, Hand bands, Flags",89.46,8.97,5,9
2023-01-17,Christmas,Monsoon,School Opening,Lucknow,Low Income,"Cake, Fruits, Oil, Bread, Chocolates",1720.61,169.28,9,4
2023-01-27,Diwali,Summer,Exam Season,Patna,Upper Middle,"Atta, Eggs, Oil",1208.32,299.56,5,2
2024-10-25,Eid,Winter,Weekend,Lucknow,Families,"Bread, Rice, Milk, Dates",122.93,7.94,9,4
2023-05-31,Independence Day,Winter,Exam Season,Patna,Middle Class,"Sugar, Bread, Hand bands, Flags, Vegetables",231.0,19.03,6,8
2024-11-23,Holi,Summer,School Opening,Kolkata,Retail Bulk,"Milk, Sugar, Fruits, Colors",1905.6,476.15,7,6
2024-02-22,Christmas,Monsoon,Wedding Season,Jaipur,Retail Bulk,"Cake, Fruits, Milk, Oil, Chocolates",197.47,10.38,9,5
2024-10-11,Holi,Summer,School Opening,Chennai,Upper Middle,"Vegetables, Sugar, Rice, Colors",1690.85,242.19,4,5
2023-06-08,Holi,Winter,Wedding Season,Lucknow,Low Income,"Sugar, Bread, Colors, Oil",1019.69,137.78,4,8
2024-03-27,Diwali,Summer,School Opening,Bangalore,Low Income,"Sugar, Bread, Oil",473.79,114.34,5,2
2023-08-26,Navratri,Summer,Weekend,Lucknow,Students,"Vegetables, Eggs, Atta",65.25,10.67,10,7
2024-03-01,Republic Day,Winter,Weekend,Bangalore,Low Income,"Vegetables, Sugar, Milk",754.86,110.16,9,2
2024-07-30,Diwali,Monsoon,School Opening,Mumbai,Middle Class,"Bread, Rice, Milk",602.7,70.94,9,9
2024-10-12,Diwali,Monsoon,Salary Day,Jaipur,Middle Class,"Milk, Eggs, Atta",923.91,213.37,6,4
2024-12-13,Eid,Summer,Exam Season,Bangalore,Students,"Vegetables, Sugar, Fruits, Dates",577.47,128.96,4,2
2023-10-25,Christmas,Winter,Normal Day,Jaipur,Low Income,"Cake, Atta, Bread, Rice, Chocolates",1476.09,190.39,10,4
2024-01-30,Makar Sankranti,Monsoon,Salary Day,Delhi,Families,"Sugar, Bread, Milk",860.67,209.01,6,4
2024-02-16,Diwali,Winter,Wedding Season,Chennai,Middle Class,"Sugar, Rice, Eggs",1457.4,136.26,8,4
2023-01-10,Independence Day,Monsoon,School Opening,Jaipur,Middle Class,"Milk, Atta, Hand bands, Flags, Vegetables",355.73,23.72,8,2
2023-08-22,Diwali,Winter,Weekend,Jaipur,Middle Class,"Sugar, Bread, Milk",515.85,99.73,10,8
2023-11-29,None,Winter,Weekend,Mumbai,Retail Bulk,"Bread, Fruits, Oil",995.67,151.43,6,9
2024-06-13,Christmas,Winter,Salary Day,Chennai,Families,"Cake, Atta, Oil, Rice, Chocolates",1358.66,173.32,4,8
2024-10-29,None,Summer,Exam Season,Kolkata,Upper Middle,"Sugar, Rice, Oil",1157.39,235.64,9,3
2024-08-20,Onam,Summer,Salary Day,Mumbai,Low Income,"Vegetables, Sugar, Fruits",664.17,44.2,5,3
2023-08-19,Navratri,Winter,Wedding Season,Delhi,Families,"Rice, Fruits, Eggs",1684.16,223.29,6,5
2024-01-26,Diwali,Summer,Wedding Season,Bangalore,Families,"Sugar, Bread, Rice",1849.58,245.75,9,2
2024-12-06,Eid,Summer,Normal Day,Bangalore,Retail Bulk,"Sugar, Dates, Milk, Atta",1972.39,150.48,4,3
2024-12-30,None,Winter,Weekend,Delhi,Retail Bulk,"Sugar, Bread, Eggs",1147.36,246.36,6,8
2024-12-31,Navratri,Monsoon,Salary Day,Jaipur,Students,"Fruits, Eggs, Oil",667.03,111.3,8,4
2023-12-13,Navratri,Monsoon,Salary Day,Patna,Students,"Vegetables, Eggs, Atta",1228.03,276.39,7,3
2023-01-08,None,Monsoon,Salary Day,Delhi,Low Income,"Vegetables, Bread, Fruits",309.01,61.63,7,3
2024-11-02,Holi,Winter,Wedding Season,Mumbai,Low Income,"Sugar, Colors, Eggs, Atta",1366.38,323.58,5,4
2023-06-10,Republic Day,Monsoon,Salary Day,Chennai,Families,"Sugar, Rice, Fruits",1738.25,383.76,7,7
2024-11-19,Onam,Winter,Wedding Season,Jaipur,Families,"Vegetables, Milk, Eggs",780.42,84.92,8,5
2024-08-03,Navratri,Winter,Salary Day,Chennai,Upper Middle,"Bread, Rice, Eggs",726.45,172.84,9,7
2024-08-22,Christmas,Winter,Exam Season,Mumbai,Families,"Sugar, Cake, Milk, Rice, Chocolates",613.94,136.37,5,4
2023-08-09,Holi,Monsoon,School Opening,Jaipur,Middle Class,"Vegetables, Rice, Eggs, Colors",1831.84,176.88,5,7
2023-05-01,Raksha Bandhan,Monsoon,Normal Day,Lucknow,Students,"Sweets, Fruits, Atta, Oil, Rakhi",83.94,12.87,10,6
2024-10-21,None,Monsoon,Exam Season,Bangalore,Upper Middle,"Vegetables, Bread, Eggs",235.55,18.36,10,4
2024-09-14,None,Monsoon,Weekend,Bangalore,Middle Class,"Vegetables, Rice, Eggs",574.62,51.06,9,5
2024-01-06,Makar Sankranti,Monsoon,School Opening,Delhi,Students,"Rice, Fruits, Atta",297.33,52.87,7,9
2024-06-01,Navratri,Winter,Wedding Season,Bangalore,Students,"Vegetables, Bread, Oil",650.13,104.29,4,4
2023-07-25,Republic Day,Monsoon,Wedding Season,Patna,Families,"Sugar, Bread, Oil",1904.65,338.23,7,6
2023-06-26,Raksha Bandhan,Winter,Salary Day,Mumbai,Students,"Sweets, Fruits, Atta, Rakhi, Rice",506.93,82.23,6,9
2023-10-09,Makar Sankranti,Summer,Normal Day,Jaipur,Families,"Rice, Eggs, Atta",1356.58,273.13,7,6
2023-03-24,Republic Day,Winter,Exam Season,Bangalore,Retail Bulk,"Vegetables, Sugar, Atta",1753.13,205.81,5,2
2023-06-11,Navratri,Monsoon,Wedding Season,Kolkata,Retail Bulk,"Milk, Fruits, Eggs",116.58,17.72,6,8
2023-01-18,Raksha Bandhan,Winter,Normal Day,Patna,Low Income,"Sweets, Milk, Atta, Rakhi, Rice",1557.95,149.39,10,9
2024-12-27,Diwali,Winter,School Opening,Patna,Families,"Sugar, Rice, Milk",417.7,67.23,8,8
